hnid,school,field_of_study,year
esmyth4,Duke University,Mechanical Engineering,2020
esoliman,Harvard University,Electrical Engineering And Computer Science,2012
esoliman,University of Oxford,Biomedical Engineering,2017
esonnier,Harvard Business School,"Business Administration And Management, General",2014
esonnier,The University of Texas at Austin - Red McCombs School of Business,Marketing,2008
especht428,Johns Hopkins University,Chemical And Biomolecular Engineering,2009
especht428,"University of California, San Diego",Biological Sciences,2014
estebantrii,"IE business school, Madrid",Mba,2021
estebantrii,Universidad Francisco Marroquín,Economics,2017
esteen,Brown University,Bioengineering,2005
esteen,Purdue University,Engineering,2000
esteen,"University of California, Berkeley",Bioengineering,2010
esteen,"University of California, Berkeley",Management Of Technology,2009
esteen,"University of California, San Francisco",Bioengineering,2010
esthercrawford,Durham University,International Relations And National Security Studies,2007
esthercrawford,Oregon State University,Philosophy,2006
esthercrawford,University of Jordan,Arabic Language,2005
estitesc,Brown University,Computer Science,2011
eswardhinak,"University of California, San Diego",Computer Science,2015
etcetc,"University of California, Berkeley",Electrical Engineering And Computer Science,2017
etesial,Moscow Institute of Physics and Technology,Applied Mathematics And Physics,2006
ethanblackburn,Loyola University Chicago,Physics And Computer Science,2012
ethanblackburn,Saint Louis University,Computer Science And Computer Engineering,2015
ethanhoroschak,Stanford University,Computer Science,2018
ethanyu94,Dartmouth College,Computer Science,2016
ethchang,Johns Hopkins University,Economics,2019
ethernetdan,Baltimore School for the Arts,Theater Technology,2011
ethernetdan,"University of Maryland, College Park",Geographical Information Systems,2014
etienn,Aix-Marseille Graduate School of Management - IAE,"Management, Information Technologies",2006
etienne_devtool,Academy of Art University,Drawing And Sculpture,2016
etienne_devtool,Ecole nationale supérieure des Télécommunications,Computer Science,2011
etienne_devtool,Ecole nationale supérieure des Télécommunications / ENST,Computer Science,2011
etienne_devtool,University of Cambridge,Advanced Computer Science,2011
etienne_krause,ESCP Europe,Strategy And Digital Business,2022
etiennebcp,École Normale Supérieure Paris,Physics,2011
etiennebcp,École Normale Supérieure Paris-Saclay,Physics,2008
etlnyc,University of Chicago,Economics,2012
etticat,Hagenberg Campus - FH Upper Austria,Software Engineering,2016
etticat,Technische Universität Berlin,Information Systems Management,2018
etticat,University of Hertfordshire,Computer Science,2016
eugenehuangsg,Nanyang Polytechnic,Interactive And Digital Media,2007
eugenehuangsg,National University of Singapore,Computer Science,2013
eunicekurczyk,The University of Western Australia,"Finance, Marketing",2009
eunicekurczyk,University of Oxford - Said Business School,Business,2025
eunleecl,University of Waterloo,Software Engineering,2020
evalinetsai,Princeton University,Chemical And Biological Engineering,2015
evalinetsai,University of Cambridge,Chemical Engineering And Biotechnology,2019
evan-arm,California Institute of Technology,Computer Science,2007
evancharles,New York University,Recorded Music,2007
evanlimanto,"University of California, Berkeley",Electrical Engineering And Computer Science,2016
evanlimanto,"University of California, Berkeley",Statistics,2017
evgenyq,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"Applied Mathematics, It",2005
evieathhc,Stanford University,Computer Science,2012
evieathhc,Stanford University,Symbolic Systems,2010
evisdrenova,The University of Chicago Booth School of Business,"Finance, Enterpreneurship",2020
evisdrenova,University of Massachusetts Amherst,Cell And Molecular Biology,2013
evmunro,University of Waterloo,Computer Science,2019
evolsb,Massachusetts Institute of Technology,Electrical Engineering And Computer Science,2006
evolvecreate,"University of California, Santa Barbara",Philosophy,2008
eweagel,Brigham Young University,Microbiology And Molecular Biology,2017
ewilliamsh,Tecnológico de Monterrey,It,2007
ewilliamsh,Tecnológico de Monterrey,It Management,2006
ewilliamsh,Y Combinator,S21,2021
exhaze,De Anza College,Mathematics,2005
exhaze,"University of California, Berkeley",Computer Science,2009
eyakubovich,Iowa State University,Computer Science,2002
eyenaz17,University of Toronto,Machine Learning,2014
ezhang37,Dartmouth College,"Computer Science, Economics",2013
ezraFeilden,Imperial College London,Materials Science,2017
ezraFeilden,Imperial College London,"Materials Science And Engineering, First/distinction",2013
ezt,"University of California, Berkeley",Computer Science,2019
faberwatson,University of Pennsylvania,Business Administration,2014
faberwatson,Yale University,Political Science And Government,2006
fabiangomez,INSA - Lyon (France),Engineering,2010
fabiangomez,Universidad de Los Andes,Engineering,2012
fabianrothfuss,CODE University of Applied Sciences,Software Engineering,2020
fabiolm,Columbia University - School of International and Public Affairs,Elab Fellowship,2021
fabiowitt,FIA,Behavioral Economics,2020
fabiowitt,UNAERP,Information Systems,2014
facio,Universidade de São Paulo,"Aerospace, Aeronautical And Astronautical Engineering",2012
fagerhult,City University London,Computer Science,2012
fagerhult,City University London,Neural Network Architectures For Musical Source Separation,2019
fagerhult,School of Audio Engineering,Audio Engineering,2008
fahimaziz,American University,Global Economics And Business,2013
fahimaziz,London School of Economics and Political Science,Development Economics,2013
fahimaziz,Notre Dame College,Science,2009
fahimaziz,The College of Wooster,Mathematics And Economics,2015
fahimf,Pennsylvania State University,Computer Science,2010
faiyamrahman,Cornell University,Computer Engineering,2015
faiyamrahman,Duke University,Mathematics,2013
faiyamrahman,Stuyvesant High School,High School Graduate,2009
falexwolf,Ludwig Maximilian University of Munich,Computational Physics,2015
falexwolf,University of Erlangen-Nuremberg,Electrical And Electronics Engineering,2013
falexwolf,Universität Augsburg,Physics,2011
fall3flake,University of Rochester,Computer Science And Economics,2002
fancyremarker,Princeton University,Computer Science,2006
fandipeng,Georgia Institute of Technology,Electrical And Computer Engineering,2016
fanzhang,Harvard University,Economics,2013
fanzhang,Harvard University,Mathematics,2009
farahg,Columbia University,Operations Research,2014
farisyagh,University of Bath,Accounting And Finance,2016
fastaubone,University of Durham,History,1991
fastaubone,Warwick Business School,"Business, Finance, Marketing",2001
fastfarma2021,Columbia University,Industrial Engineering And Operations Research,2015
fatihcelikbas,Yale University,Computer Science,2020
fatmaakcay,Harvard College,Computer Science,2016
fawadhussain,International Islamic University,Electronics And Communications Engineering,2009
fbriggs,Harvey Mudd College,Computer Science,2006
fbriggs,Oregon State University,Machine Learning,2013
fcareau,Collège des Compagnons,Programme Protic,2009
fcareau,Cégep Limoilou,"Technologie De Électronique, Télécommunications",2012
fceyssen,KU Leuven,Electrical Engineering,2010
fceyssen,KU Leuven,Engineering,2003
fceyssen,KU Leuven,Medicine,2022
fdominguezc,Pontificia Universidad Católica de Chile,Computer Science,2020
febrigamal,Parahyangan Catholic University,Accounting,2012
febrigamal,Prasetiya Mulya Business School,Finance,2014
fedegar,Universidad Blas Pascal,Telecommunications Engineering,2005
fedster,Scuola Superiore 'Sant' Anna' di Studi Universitari e di Perfezionamento,"Robotics, Haptics, Hmi",2002
fedster,Stanford University,Robotics,2004
fedster,Università di Bologna,Engineering,1998
feelto88,Seoul National University,농경제학,2014
feepfoop,University of Waterloo,Computer Engineering,2021
fegoarr,ITAM,Actuarial Sciences,2009
fegoarr,"The Wharton School, University of Pennsylvania",Mba,2014
fehintolu,Obafemi Awolowo University,Electronics/electrical Engineering,2008
fehintolu,University of Lagos,Information Technology,2014
felarof,Carnegie Mellon University,Systems And Machine Learning,2019
felarof,National Institute of Technology Karnataka,Computer Science,2013
felipap,Yale University,"Economics, Computer Science",2020
felipemonsalve,Massachusetts Institute of Technology,Computer Science,2022
felipemonsalve,Massachusetts Institute of Technology,"Computer Science, Mathematical Economics",2020
feliperestrepo,Universidad EAFIT,Business Administration,2021
felix_eckert,Center for Digital Technology and Management,Technology Management,2021
felix_eckert,Stanford University,Center For Design Research,2022
felix_eckert,Technical University of Munich,Informatics,2023
felix_eckert,The University of Tokyo,Hci For Machine Learning,2023
felix_glocally,Ludwig Maximilian University of Munich,Business Administration,2020
felixgabler,"University of California, San Diego","Computational Science, Mathematics, And Engineering",2020
felixgabler,University of Tübingen,Computer Science,2019
felixgabler,University of Tübingen,Machine Learning,2022
felixwang,Stanford University,Mathematics,2021
felman,University of Ghana,Business Administration,2018
femi_aluko,"Obafemi Awolowo University,Ile-Ife",Electrical Engineering,2015
femiadebogun,University of Redlands,International Finance,2018
femiaw,University College London,Computer Science,2017
femiaw,University of Exeter,Economics,2016
femiiromini,Obafemi Awolowo University,Geophysics,2012
femikuti,Obafemi Awolowo University,Medicine And Surgery,2009
fengjiabo2400,Stanford University,Management Science And Engineering,2021
fengjiabo2400,Stanford University,Product Design,2017
fer_albertorio,Pontifical Catholic University of Puerto Rico,Chemistry,1998
fer_albertorio,Texas A&M University,Analytical Chemistry,2006
ferdelat,Babson F.W. Olin Graduate School of Business,Entrepreneurship And Marketing,2008
ferdelat,Instituto Tecnológico de Morelia,Electrical And Electronics Engineering,2002
ferdelat,MIT Sloan School of Management,Strategy And Innovation,2019
ferhatb,Sakarya Üniversitesi,Mechanical Engineering,2020
ferhatb,Technical University of Munich,Automotive Technologies And Management,2020
ferlopezm94,Tecnológico de Monterrey,Computer Science,2018
fernandohuerta,Tecnológico de Monterrey,Engineering,1991
fernandohuerta,Tecnológico de Monterrey,Management,1994
fernandotmz,Universitat Politècnica de Catalunya,Industrial Engineering,2016
ferus85,Babson F.W. Olin Graduate School of Business,Entrepreneurship/entrepreneurial Studies,2014
ferus85,"University of California, Berkeley","Business Administration And Management, General",2007
ferus85,Wesleyan University,"Computer Science, Minor Equivalent In Photography",2008
festinalente,Johns Hopkins University,International Relations And International Economics,2014
festinalente,Johns Hopkins University,International Studies,2013
fevillamarin,Universidad de Los Andes,Economics,2012
ffahleraz,Bandung Institute of Technology,Software Engineering,2020
fgdemussy,Pontificia Universidad Católica de Chile,Civil Engineering,2011
fgdemussy,Singapore Management University,Business Administration And Finance,2010
fgfm,CentraleSupelec,Mathematics And Computer Science,2017
fgfm,"Ecole Polytechnique, Paris",Economic Modelling,2017
fgfm,Lycee Jean-Baptiste Say,Applied Mathematics,2013
fheisler,Princeton University,"Operations Research, Financial Engineering With Applications Of Computing",2010
fiddle-earth,National Institute of Technology Trichy,Electrical And Electronics Engineering,2022
filip43,University of Cambridge,Information And Computer Engineering,2018
filipt,Massachusetts Institute of Technology,"Mathematics, Aeronautical And Astronautical Engineering",2017
